trial,score,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_net_pnl,tr_gross_profit,tr_gross_loss,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_fees,tr_blocked,va_return_pct,va_net_pnl,va_gross_profit,va_gross_loss,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_fees,va_blocked
227,0.5020953732592289,106,16,63.0,30.0,13,16,3.8000000000000003,19,26,1.7000000000000002,1.9,0.029,0.6000000000000001,2.5,48.932838730399766,4893.283873039976,21284.309999999998,16390.97,1.298538768602468,1.224742467883669,28.554209452795803,140.0,59.0,81.0,42.142857142857146,2134.95,0.0,22.824833964000117,2282.4833964000118,8974.52,6692.04,1.3410738728399711,1.399928154862665,14.193633962021812,59.0,27.0,32.0,45.76271186440678,926.41,0.0
236,0.5001042639117961,101,16,61.0,31.0,14,16,3.6,18,26,1.6,2.3,0.027,0.6000000000000001,2.5,46.72979859364983,4672.979859364983,22039.75,17366.81,1.2690730191670203,1.250709684723908,23.565253218784672,127.0,48.0,79.0,37.79527559055118,2206.88,0.0,27.850962534449934,2785.0962534449936,8138.42,5353.33,1.5202537486013379,1.8556346491994558,11.354202865184503,49.0,21.0,28.0,42.857142857142854,820.86,0.0
126,0.49684734263843966,116,17,67.0,26.0,12,12,3.9000000000000004,20,17,2.0,2.5,0.021,0.7,2.5,45.870956011749605,4587.09560117496,23002.620000000003,18415.489999999998,1.2490908468903084,1.1810713710582323,28.33285297853963,119.0,43.0,76.0,36.134453781512605,1955.57,0.0,30.59599910474999,3059.599910474999,12334.39,9274.81,1.3298806121095743,1.6503700135471433,16.67577694679651,61.0,23.0,38.0,37.704918032786885,1023.94,0.0
153,0.49142350544885394,117,18,67.0,27.0,13,12,3.9000000000000004,20,20,2.0,2.5,0.021,0.7,2.0,47.18663283614951,4718.663283614951,21626.41,16907.74,1.2790834256973431,1.2568432387344608,22.313966607464813,122.0,45.0,77.0,36.885245901639344,1733.29,0.0,23.45552369645002,2345.552369645002,11987.949999999999,9642.410000000002,1.2432524648920753,1.371274093228716,14.494624036222287,68.0,25.0,43.0,36.76470588235294,1025.29,0.0
183,0.4883716163735473,107,15,62.0,32.0,12,16,3.7,18,22,1.8,2.3,0.025,0.65,2.5,48.410973249799696,4841.09732497997,21241.570000000003,16400.44,1.295182934116402,1.3354516032541932,22.602945200293753,114.0,44.0,70.0,38.59649122807018,2128.59,0.0,17.734643350199878,1773.4643350199876,6777.2300000000005,5003.79,1.3544193501325996,1.3204144817518997,10.568990833142857,41.0,17.0,24.0,41.46341463414634,707.15,0.0
296,0.4867613318280377,104,15,63.0,33.0,14,16,3.6,19,26,1.6,2.2,0.029,0.55,2.5,46.40705550854977,4640.7055508549765,23124.27,18483.570000000003,1.2510716273966553,1.2309491058814757,22.110345088946584,136.0,51.0,85.0,37.5,2284.59,0.0,25.085775078150018,2508.577507815002,8297.21,5788.619999999999,1.4333658108495635,1.688088516718875,12.024686439643219,54.0,22.0,32.0,40.74074074074074,825.67,0.0
127,0.4831896012435065,116,17,67.0,26.0,12,12,3.9000000000000004,20,17,2.0,2.5,0.02,0.7,2.5,44.51704368479945,4451.704368479945,22177.49,17725.739999999998,1.2511460734502482,1.1883663630797114,27.408569511865554,119.0,43.0,76.0,36.134453781512605,1901.03,0.0,29.012456650300027,2901.245665030003,11763.519999999999,8862.28,1.3273694805399963,1.634301896577007,15.945878742631983,61.0,23.0,38.0,37.704918032786885,985.09,0.0
158,0.4811168699961481,113,15,63.0,29.0,12,14,3.8000000000000003,19,17,1.9000000000000001,2.6,0.021,0.7,2.0,47.74326456334951,4774.326456334951,20181.989999999998,15407.680000000002,1.3098655994932393,1.4082314167145527,28.236577970625554,109.0,39.0,70.0,35.77981651376147,1801.36,0.0,15.171962422550006,1517.1962422550005,7514.33,5997.139999999999,1.2529855897978037,1.068359767503915,16.251416643049357,50.0,19.0,31.0,38.0,688.84,0.0
277,0.4810738134425702,110,16,62.0,32.0,14,16,3.5,16,25,1.6,2.0,0.03,0.6000000000000001,2.5,49.638689004799744,4963.868900479974,20960.96,15997.01,1.3103048632213143,1.32522063064655,21.823199164731328,122.0,49.0,73.0,40.16393442622951,2260.72,0.0,14.530269942399974,1453.0269942399973,6661.86,5208.820000000001,1.2789576142005288,1.0873246814902209,9.805282434856215,49.0,20.0,29.0,40.816326530612244,773.7,0.0
166,0.4796241001184675,120,16,63.0,29.0,12,15,3.7,20,19,1.9000000000000001,2.5,0.023000000000000003,0.7,2.5,41.89385868814961,4189.385868814961,20435.200000000004,16245.83,1.2578735589378938,1.1321619962396154,25.388028210893914,107.0,37.0,70.0,34.57943925233645,1964.23,0.0,34.657211198550044,3465.721119855005,10791.82,7326.090000000001,1.473066806441089,1.8604489608405754,16.901321250471227,49.0,20.0,29.0,40.816326530612244,893.76,0.0
